품목명,분쟁유형명,answer
시계,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
시스템에어컨,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
앰프,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
온풍기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
외장하드,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
유아용카시트(안전의자),1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
인터넷전화기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
작동완구,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기구강세정기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기면도기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기세탁기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기장판,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기진공청소기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전기팬히터,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
전자사전,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
정수기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
조립완구,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
차량용블랙박스,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
카메라,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
커피메이커,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
컴퓨터모니터(데스크탑),1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
태블릿PC,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
통신기기주변장치,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
퍼스널컴퓨터,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
프린터,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
프린터잉크,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
헤드폰·이어폰,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
휴대폰(2G),1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
CCTV,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
USB,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
,1) 구입 후 15일 이내 폐사 시,"동종의 애완동물로 교환 또는 구입가 환급 입니다. (단, 소비자의 중대한 과실로 인하여 피해가 발생한 경우에는 배상을 요구할 수 없음)"
애완견,1) 구입 후 15일 이내 폐사 시,"동종의 애완동물로 교환 또는 구입가 환급 입니다. (단, 소비자의 중대한 과실로 인하여 피해가 발생한 경우에는 배상을 요구할 수 없음)"
애완고양이,1) 구입 후 15일 이내 폐사 시,"동종의 애완동물로 교환 또는 구입가 환급 입니다. (단, 소비자의 중대한 과실로 인하여 피해가 발생한 경우에는 배상을 요구할 수 없음)"
애완동물기타,1) 구입 후 15일 이내 폐사 시,"동종의 애완동물로 교환 또는 구입가 환급 입니다. (단, 소비자의 중대한 과실로 인하여 피해가 발생한 경우에는 배상을 요구할 수 없음)"
,1) 구입 후 1개월 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 수리를 요할 때,제품교환 또는 구입가 환급 입니다. 
안경·안경테,1) 구입 후 1개월 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 수리를 요할 때,제품교환 또는 구입가 환급 입니다. 
콘택트렌즈·용품,1) 구입 후 1개월 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 수리를 요할 때,제품교환 또는 구입가 환급 입니다. 
,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 구입가 환급 입니다.
기타자전거,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
물안경,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 구입가 환급 입니다.
어린이자전거,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
텐트,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 구입가 환급 입니다.
트레이닝기구,1) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 구입가 환급 입니다.
,1) 구입일로부터 30일 이내에 제품의 성능/기능상의 하자가 있는 경우(베이스불량  점등이 되지 않는 경우  흑화현상 등),제품교환 또는 구입가 환급 입니다.
전기스탠드,1) 구입일로부터 30일 이내에 제품의 성능/기능상의 하자가 있는 경우(베이스불량  점등이 되지 않는 경우  흑화현상 등),제품교환 또는 구입가 환급 입니다.
전등·전구,1) 구입일로부터 30일 이내에 제품의 성능/기능상의 하자가 있는 경우(베이스불량  점등이 되지 않는 경우  흑화현상 등),제품교환 또는 구입가 환급 입니다.
,1) 금액상품권의 경우 잔액환급비율의 금액 이상에 상당하는 물품 또는 용역을 제공받고 그 잔액을 환급하여 줄 것을 요구하였으나 잔액환급을 거부하는 경우,"잔액 현금 환급 입니다.  (잔액환급비율 (=구매대금/상품권 권면금액) 상품권의 권면금액이 1만원 초과일 경우에는 100분의 60, 상품권의 권면금액이 1만원 이하일 경우에는100분의 80. 상품권을 2매 이상 동시에 사용한 경우에는 상품권 권면금액의 합계액을 기준으로 함. 다만, 구매대금과 무관한 상품권은 합계액에 포함하지 않음.)"
각종쿠폰류(무료통화권포함),1) 금액상품권의 경우 잔액환급비율의 금액 이상에 상당하는 물품 또는 용역을 제공받고 그 잔액을 환급하여 줄 것을 요구하였으나 잔액환급을 거부하는 경우,"잔액 현금 환급 입니다.  (잔액환급비율 (=구매대금/상품권 권면금액) 상품권의 권면금액이 1만원 초과일 경우에는 100분의 60, 상품권의 권면금액이 1만원 이하일 경우에는100분의 80. 상품권을 2매 이상 동시에 사용한 경우에는 상품권 권면금액의 합계액을 기준으로 함. 다만, 구매대금과 무관한 상품권은 합계액에 포함하지 않음.)"
상품권,1) 금액상품권의 경우 잔액환급비율의 금액 이상에 상당하는 물품 또는 용역을 제공받고 그 잔액을 환급하여 줄 것을 요구하였으나 잔액환급을 거부하는 경우,"잔액 현금 환급 입니다.  (잔액환급비율 (=구매대금/상품권 권면금액) 상품권의 권면금액이 1만원 초과일 경우에는 100분의 60, 상품권의 권면금액이 1만원 이하일 경우에는100분의 80. 상품권을 2매 이상 동시에 사용한 경우에는 상품권 권면금액의 합계액을 기준으로 함. 다만, 구매대금과 무관한 상품권은 합계액에 포함하지 않음.)"
,1) 대리운전 기사의 운행 중 발생한 차량파손 등 물적 손해,대리운전 사업자가 차량수리비 등 피해액 배상합니다.
대리운전,1) 대리운전 기사의 운행 중 발생한 차량파손 등 물적 손해,대리운전 사업자가 차량수리비 등 피해액 배상합니다.
,1) 대여전 예약취소로 인한 피해,"소비자사정에 의한 대여예약 취소 시, 사용개시일시로부터 24시간 전 취소 통보 시 예약금 전액 환급 가능하며, 사용개시일시로부터 24시간 이내 취소 통보 시 예약금 중 대여예정 요금의 10% 공제 후 환급 가능합니다.  사업자의 사정에 의한 예약취소 또는 계약의 미체결 시, 예약금에 대여예정 요금의 10% 가산 후 환급 합니다."
자동차대여(렌트),1) 대여전 예약취소로 인한 피해,"소비자사정에 의한 대여예약 취소 시, 사용개시일시로부터 24시간 전 취소 통보 시 예약금 전액 환급 가능하며, 사용개시일시로부터 24시간 이내 취소 통보 시 예약금 중 대여예정 요금의 10% 공제 후 환급 가능합니다.  사업자의 사정에 의한 예약취소 또는 계약의 미체결 시, 예약금에 대여예정 요금의 10% 가산 후 환급 합니다."
,1) 디자인  색상  크기에 불만이 있는 경우,구입 후 7일 이내로서 제품에 손상이 없는 경우 제품 교환 입니다.
,1) 매매의 알선을 하고 이전등록 신청대행의무를 이행하지 않거나 태만히 하여 피해가 발생한 경우,배상 가능합니다.
중고자동차중개·매매,1) 매매의 알선을 하고 이전등록 신청대행의무를 이행하지 않거나 태만히 하여 피해가 발생한 경우,배상 가능합니다.
,1) 법정대리인의 동의 없는 미성년자 계약,계약취소가 가능합니다. 기 납부한 요금을 환급하고 미납요금 및 잔여 위약금에 대한 청구행위를 금지합니다.
,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소 가능합니다.  (기납부한 요금은 환급하고, 미납요금 및 위약금 청구행위를 금지함.)"
,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소가 가능합니다.   기 납부한 요금(가입비, 보증금 또는 보증보험료)을 환급하고 미납요금 및 잔여 위약금에 대한 청구행위를 금지합니다."
,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소 가능합니다.   (기납부한 요금은 환급하고, 미납요금 및 위약금 청구를 금지함.)"
기타이동통신,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소가 가능합니다.   기 납부한 요금(가입비, 보증금 또는 보증보험료)을 환급하고 미납요금 및 잔여 위약금에 대한 청구행위를 금지합니다."
이동전화서비스,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소가 가능합니다.   기 납부한 요금(가입비, 보증금 또는 보증보험료)을 환급하고 미납요금 및 잔여 위약금에 대한 청구행위를 금지합니다."
인터넷게임서비스,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소 가능합니다.   (기납부한 요금은 환급하고, 미납요금 및 위약금 청구를 금지함.)"
인터넷교육서비스,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소 가능합니다.  (기납부한 요금은 환급하고, 미납요금 및 위약금 청구행위를 금지함.)"
인터넷정보이용서비스,1) 법정대리인의 동의 없는 미성년자 계약,"계약취소 가능합니다.  (기납부한 요금은 환급하고, 미납요금 및 위약금 청구행위를 금지함.)"
초고속인터넷,1) 법정대리인의 동의 없는 미성년자 계약,계약취소가 가능합니다. 기 납부한 요금을 환급하고 미납요금 및 잔여 위약금에 대한 청구행위를 금지합니다.
,1) 봉안 후 소비자가 계약을 해지하는 경우,"총사용료 중 아래 표의 년차별 환급률에 해당하는 금액 환급 입니다.( 봉안일로부터 최초 1년은 6개월 단위, 1년 경과 시점부터는 년 단위로 환급률을 적용함.(예 : 소비자가 봉안일로부터 3개월째 계약을 해지할 경우 사업자는 총사용료의 75%에 해당하는 금액을 소비자에게 환급))  (6개월 이내 75%, 6개월초과 ~ 1년 70%, 1년초과 ~ 2년 65%, 2년초과 ~ 3년 60%, 3년초과 ~ 4년 55%, 4년초과 ~ 5년 50%,  5년초과 ~ 6년 45%, 6년초과 ~ 7년 40%, 7년초과 ~ 8년 35%, 8년초과 ~ 9년 30%, 9년초과 ~ 10년 25%, 10년초과 ~ 11년 20%, 11년초과 ~  12년 15%, 12년초과 ~ 13년 12%, 13년초과 ~ 14년 10%, 14년초과 ~ 15년  7%, 15년초과  5%)"
묘지설비,1) 봉안 후 소비자가 계약을 해지하는 경우,"총사용료 중 아래 표의 년차별 환급률에 해당하는 금액 환급 입니다.( 봉안일로부터 최초 1년은 6개월 단위, 1년 경과 시점부터는 년 단위로 환급률을 적용함.(예 : 소비자가 봉안일로부터 3개월째 계약을 해지할 경우 사업자는 총사용료의 75%에 해당하는 금액을 소비자에게 환급))  (6개월 이내 75%, 6개월초과 ~ 1년 70%, 1년초과 ~ 2년 65%, 2년초과 ~ 3년 60%, 3년초과 ~ 4년 55%, 4년초과 ~ 5년 50%,  5년초과 ~ 6년 45%, 6년초과 ~ 7년 40%, 7년초과 ~ 8년 35%, 8년초과 ~ 9년 30%, 9년초과 ~ 10년 25%, 10년초과 ~ 11년 20%, 11년초과 ~  12년 15%, 12년초과 ~ 13년 12%, 13년초과 ~ 14년 10%, 14년초과 ~ 15년  7%, 15년초과  5%)"
,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다.(단, 소비자과실 및 부주의로 인한 하자이거나 장기착화제품의 경우 보상 제외이며,품질보증기간 이내 제품은 구입가 기준, 품질보증기간 경과 제품은 감가함(세탁업배상비율 참조) "
,1) 봉제불량,"무상수리,교환,환급 순으로 보상입니다."
교복,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
남성용내의류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
등산화,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다.(단, 소비자과실 및 부주의로 인한 하자이거나 장기착화제품의 경우 보상 제외이며,품질보증기간 이내 제품은 구입가 기준, 품질보증기간 경과 제품은 감가함(세탁업배상비율 참조) "
모피·모피의류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
방석,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
셔츠,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
숙녀화(구두·부츠 등),1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다.(단, 소비자과실 및 부주의로 인한 하자이거나 장기착화제품의 경우 보상 제외이며,품질보증기간 이내 제품은 구입가 기준, 품질보증기간 경과 제품은 감가함(세탁업배상비율 참조) "
스웨터,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
스포츠웨어,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
신사복하의,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
여성용내의류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
운동용가방,1) 봉제불량,"무상수리,교환,환급 순으로 보상입니다."
운동화,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다.(단, 소비자과실 및 부주의로 인한 하자이거나 장기착화제품의 경우 보상 제외이며,품질보증기간 이내 제품은 구입가 기준, 품질보증기간 경과 제품은 감가함(세탁업배상비율 참조) "
원피스,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
이불·요,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
이불·침대커버,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
점퍼·재킷류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
지갑,1) 봉제불량,"무상수리,교환,환급 순으로 보상입니다."
천연피혁의류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
캐주얼바지,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
코트,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
타올,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
합성피혁의류,1) 봉제불량,"무상수리,교환,환급 순으로 보상이 가능하며 수리 불가능 시는 교환입니다."
핸드백,1) 봉제불량,"무상수리,교환,환급 순으로 보상입니다."
,1) 부동산 중개수수료의 과다징수,차액환급 입니다.
부동산중개,1) 부동산 중개수수료의 과다징수,차액환급 입니다.
,1) 분실/도난신고를 통지한 날로부터 60일전 이후에 제3자가 부정사용한 경우,전액보상 입니다. (소비자에게 귀책사유가 있는 경우(신용카드회원 약관에 규정)는 과실상계 가능함.)
,1) 분양주택의 건축 및 설비상 하자발생,"하자보수책임기간 이내에는 무상 수리 및 보수가 가능하며, 하자보수책임기간 이후에는 유상 수리 및 보수로 진행됩니다.   하자보수 책임기간은 공동주택관리령 등에 규정된 기간으로 합니다."
아파트,1) 분양주택의 건축 및 설비상 하자발생,"하자보수책임기간 이내에는 무상 수리 및 보수가 가능하며, 하자보수책임기간 이후에는 유상 수리 및 보수로 진행됩니다.   하자보수 책임기간은 공동주택관리령 등에 규정된 기간으로 합니다."
,1) 사업자 귀책사유로 인한 계약해제,"계약서 작성 후 해지요청 시 대행수수료 환급 및 대행수수료의 10% 보상 이며, 대행업무가 이루어지지 않거나 출국예정일이 3개월 이상 지연 대행수수료의 환급 및 대행수수료의 30% 보상 입니다.   (해당학교의 환급규정을 우선 적용하고, 해당학교의 특별한 환급규정이 없을 때에는 동 규정을 적용함.)"
국외캠프,1) 사업자 귀책사유로 인한 계약해제,"계약서 작성 후 해지요청 시 대행수수료 환급 및 대행수수료의 10% 보상 이며, 대행업무가 이루어지지 않거나 출국예정일이 3개월 이상 지연 대행수수료의 환급 및 대행수수료의 30% 보상 입니다.   (해당학교의 환급규정을 우선 적용하고, 해당학교의 특별한 환급규정이 없을 때에는 동 규정을 적용함.)"
,1) 사업자가 다음의 부당행위(허위/과장광고  정원초과  무자격/자격미달강사)를 하였을 때 수강자가 이 사실을 안 후 지체 없이 계약해제 요구,"허위.과장광고에 의한 수강계약 체결 시, 정원을 초과한 수강생 모집 및 교습 시, 무자격 또는 자격미달강사에 의한 교습(단, 강사의 자격기준은 학원법, 평생교육법 등 관련법령에 의함) 시, 계약해제 및 수강료 전액 환급이 가능합니다.   참고로, 정보통신기술 등을 활용한 원격 학교교과 교습의 경우 반환금액은 교습내용을 실제 수강한 부분(인터넷으로 수강하거나 학습기기로 저장한 것을 말함)에 해당하는 금액을 뺀 금액으로 합니다. (계약 시 수강료와 교재비 등을 때로 기재하여 고지하여야 함)"
각종자격취득강습,1) 사업자가 다음의 부당행위(허위/과장광고  정원초과  무자격/자격미달강사)를 하였을 때 수강자가 이 사실을 안 후 지체 없이 계약해제 요구,"허위.과장광고에 의한 수강계약 체결 시, 정원을 초과한 수강생 모집 및 교습 시, 무자격 또는 자격미달강사에 의한 교습(단, 강사의 자격기준은 학원법, 평생교육법 등 관련법령에 의함) 시, 계약해제 및 수강료 전액 환급이 가능합니다.   참고로, 정보통신기술 등을 활용한 원격 학교교과 교습의 경우 반환금액은 교습내용을 실제 수강한 부분(인터넷으로 수강하거나 학습기기로 저장한 것을 말함)에 해당하는 금액을 뺀 금액으로 합니다. (계약 시 수강료와 교재비 등을 때로 기재하여 고지하여야 함)"
일반강습(입시학원등),1) 사업자가 다음의 부당행위(허위/과장광고  정원초과  무자격/자격미달강사)를 하였을 때 수강자가 이 사실을 안 후 지체 없이 계약해제 요구,"허위.과장광고에 의한 수강계약 체결 시, 정원을 초과한 수강생 모집 및 교습 시, 무자격 또는 자격미달강사에 의한 교습(단, 강사의 자격기준은 학원법, 평생교육법 등 관련법령에 의함) 시, 계약해제 및 수강료 전액 환급이 가능합니다.   참고로, 정보통신기술 등을 활용한 원격 학교교과 교습의 경우 반환금액은 교습내용을 실제 수강한 부분(인터넷으로 수강하거나 학습기기로 저장한 것을 말함)에 해당하는 금액을 뺀 금액으로 합니다. (계약 시 수강료와 교재비 등을 때로 기재하여 고지하여야 함)"
,1) 사업자가 잔액에 대한 환급을 거부할 경우,"선불전자지급수단인 경우 기준금액의 60% 또는 80% 이상을 사용한 경우에는 잔액 환급하며, 전자화폐인 경우 잔액의 100% 환급합니다.  선불 전자지급수단 및 전자화폐는 전자금융거래법상의 개념을 준용하며, 기준금액은 최종 충전 후의 잔액(최종 충전 전의 잔액+최종 충전금액)으로 합니다.  선불전자지급수단의 잔액환급비율 : 기준금액 1만원 초과일 경우 100분의 60 이상 사용 시 , 기준금액 1만원 이하일 경우 100분의 80 이상 사용 시 잔액 환급 가능합니다."
교통카드,1) 사업자가 잔액에 대한 환급을 거부할 경우,"선불전자지급수단인 경우 기준금액의 60% 또는 80% 이상을 사용한 경우에는 잔액 환급하며, 전자화폐인 경우 잔액의 100% 환급합니다.  선불 전자지급수단 및 전자화폐는 전자금융거래법상의 개념을 준용하며, 기준금액은 최종 충전 후의 잔액(최종 충전 전의 잔액+최종 충전금액)으로 합니다.  선불전자지급수단의 잔액환급비율 : 기준금액 1만원 초과일 경우 100분의 60 이상 사용 시 , 기준금액 1만원 이하일 경우 100분의 80 이상 사용 시 잔액 환급 가능합니다."
,1) 사업자의 귀책사유로 인한 계약해제,"예식일예정일로부터 150일전까지(∼150) 계약해제 통보 시, 계약금 환급 합니다.   예식예정일로부터 60일전까지(149~60) 계약해제 통보 시, 계약금 환급 및 총비용의 10% 배상 합니다.   예식예정일로부터 30일전까지(59~30) 계약해제 통보 시, 계약금 환급 및 총비용의 20% 배상 합니다.   예식예정일로부터 29일전 이후(29~당일) 계약해제 통보 시, 계약금 환급 및 총비용의 35% 배상 합니다.   총비용이라 함은 연회비용(연회음식, 음주류 등)과 예식비용(예식장 대관료, 부대시설·부대서비스·부대물품 등 이용요금, 신부드레스, 화장, 사진·비디오 촬영 등)을 포함한 금액으로 계약 시 정한 실거래금액을 말합니다."
,1) 사업자의 귀책사유로 인한 계약해제,대행료 전액 환급 및 손해배상 합니다.
